id,image,gt_bbox,pred_bbox,iou,raw_answer,status
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_85_82,S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_85_82.jpg,"[0.0, 0.34, 0.54, 1.0]","[0.17, 0.69, 0.83, 1.0]",0.25700201658077537,[0.17 0.69 0.83 1.0],success
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_84_45,S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_84_45.jpg,"[0.6, 0.0, 1.0, 0.55]","[0.0, 0.0, 0.99, 0.99]",0.2176339285714286,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_74_08,S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_74_08.jpg,"[0.25, 0.0, 0.7, 0.25]","[0.0, 0.0, 0.99, 0.99]",0.1147842056932966,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_31_81,S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_31_81.jpg,"[0.0, 0.0, 0.95, 0.53]","[0.0, 0.0, 1.0, 0.99]",0.5085858585858585,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_72_81,S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_72_81.jpg,"[0.8, 0.65, 1.0, 0.99]","[0.92, 0.82, 1.0, 0.92]",0.11764705882352951,[0.92 0.82 1.0 0.92],success
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_08_34,S2B_MSIL2A_20170924T093019_N9999_R136_T35UMB_08_34.jpg,"[0.68, 0.9, 0.99, 1.0]","[0.0, 0.0, 1.0, 0.99]",0.028093847548081752,"[0.0 0.0, 1.0 0.99]",success
S2B_MSIL2A_20180428T095029_N9999_R079_T33TXN_30_02,S2B_MSIL2A_20180428T095029_N9999_R079_T33TXN_30_02.jpg,"[0.0, 0.0, 1.0, 0.64]","[0.0, 0.0, 0.99, 0.99]",0.64227065382666,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_49_03,S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_49_03.jpg,"[0.89, 0.46, 1.0, 0.85]","[0.0, 0.0, 0.99, 0.99]",0.03963414634146341,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_71_11,S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_71_11.jpg,"[0.81, 0.0, 1.0, 0.15]","[0.0, 0.0, 0.99, 0.99]",0.027506112469437644,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_09_35,S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_09_35.jpg,"[0.05, 0.0, 1.0, 0.34]","[0.0, 0.0, 0.99, 0.99]",0.3249618708693442,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_84_69,S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_84_69.jpg,"[0.0, 0.0, 0.51, 0.6]","[0.0, 0.0, 0.99, 0.99]",0.3122130394857668,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_61_78,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_61_78.jpg,"[0.0, 0.38, 0.35, 0.99]","[0.0, 0.0, 0.99, 0.99]",0.21783491480461178,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_02_33,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_02_33.jpg,"[0.49, 0.59, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.2021835826930853,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_13_87,S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_13_87.jpg,"[0.45, 0.0, 1.0, 0.97]","[0.0, 0.0, 0.99, 0.99]",0.529197817740958,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_09_25,S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_09_25.jpg,"[0.22, 0.24, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.580168776371308,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_23_84,S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_23_84.jpg,"[0.0, 0.14, 0.82, 0.95]","[0.0, 0.0, 0.99, 0.99]",0.6776859504132231,"[0.0 0.0, 0.99 0.99]",success
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_85_40,S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_85_40.jpg,"[0.36, 0.0, 0.78, 0.13]","[0.55, 0.0, 0.99, 0.99]",0.06495763632413644,"[0.55 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_62_11,S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_62_11.jpg,"[0.45, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.99, 0.99]",0.5370165745856355,"[0.0 0.0, 0.99 0.99]",success
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_46_81,S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_46_81.jpg,"[0.0, 0.43, 0.08, 0.62]","[0.04, 0.53, 0.53, 0.99]",0.015189873417721513,[0.04 0.53 0.53 0.99],success
S2B_MSIL2A_20180201T093219_N9999_R136_T34TEP_86_52,S2B_MSIL2A_20180201T093219_N9999_R136_T34TEP_86_52.jpg,"[0.0, 0.0, 1.0, 0.85]","[0.53, 0.37, 0.67, 0.49]",0.019764705882352945,[0.53 0.37 0.67 0.49],success
S2B_MSIL2A_20171016T101009_N9999_R022_T34VDM_25_06,S2B_MSIL2A_20171016T101009_N9999_R022_T34VDM_25_06.jpg,"[0.77, 0.0, 1.0, 0.34]","[0.0, 0.0, 1.0, 0.99]",0.078989898989899,"[0.0 0.0, 1.0 0.99]",success
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_57_03,S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_57_03.jpg,"[0.39, 0.0, 1.0, 0.68]",,,"[0.0 0.0, 0.12 0.0, 0.22 0.0, 0.32 0.0, 0.42 0.0, 0.52 0.0, 0.62 0.0, 0.72 0.0, 0.82 0.0, 0.92 0.0, 0.99 0.0, 0.99 0.0, 0.99 0.0",parse_failed
